,Type_of_course_Aggregate,Type_of_Fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Passing_0.6_mm_Sieve_(%),Target_Mean_Strength_(Npermm2),Cement_O.P.C_(Kgperm3),WaterCement_Ratio,Water_Content_(Kgperm3),,Additive_Type_&_Dosage_(per100_kg_of_cement),Total_Aggregate_(Kgperm3),Fine_Aggregate_(Kgperm3),Coarse_Aggregate_(Kgperm3),Workability_Slump_(mm),Hardened_Concrete_Desnity_(avg.),7_day_str,28_day_str,Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Passing_0.6mm_Sieve(%),Additive_Type_&_Dos._(per100_Kg_of_cement),Admix_type,Admix_dosage
134,Natural,Natural,20,48.7,38,335,0.5,165,,type euro 8600*dos. .75 lit,1900,760,1140,185,2404,24.7,31.2,0,0,0,0,,
135,Crushed,Natural,20,0,38,350,0.51,180,,0,1910,765,1140,150,2400,21.8,31.7,0,0,0,0,,
136,Crushed,Natural,20,26.9,38,350,0.51,180,,0,1910,765,1140,150,2369,21.8,0,0,0,0,0,,
137,Crushed,Natural,20,29.1,38,350,0.53,185,,Type SP901* Dos 1.0 lit,1905,765,1140,150,2444,33.5,0,0,0,0,0,,
138,Crushed,Natural,20,29.1,38,350,0.53,185,,Type SP901* Dos 1.0 lit,1905,765,1140,150,2446,34.6,0,0,0,0,0,,
139,Crushed,Natural,20,0,38,350,0.54,190,,0,1885,755,1140,80,2430,25.8,36.1,0,0,0,0,,
140,Crushed,Natural,20,42.1,38,345,0.55,190,,Type RHEOBUILD 850 * Dos. 1.25 lit,1905,760,1145,145,2446,33.9,43.2,0,0,0,0,,
141,Crushed,Natural,20,30.1,38,350,0.5,175,,0,1910,765,1145,100,2456,32.7,41.9,0,0,0,0,,
142,Crushed,Natural,20,30.1,38,350,0.5,175,,0,1910,765,1145,100,2455,32.7,0,0,0,0,0,,
143,Crushed,Natural,20,30.1,38,350,0.5,175,,0,1910,765,1145,100,2455,32.7,0,0,0,0,0,,
144,Crushed,Natural,20,23.1,38,350,0.53,185,,0,1915,770,1145,120,2454,21.9,29.9,0,0,0,0,,
145,Crushed,Natural,20,23.1,38,350,0.53,185,,0,1915,770,1145,120,2456,21.9,0,0,0,0,0,,
146,Crushed,Natural,20,21.1,38,350,0.5,170,,0,1910,765,1145,80,2453,18.2,0,0,0,0,0,,
147,Crushed,Natural,20,21.1,38,350,0.54,170,,0,1910,765,1145,80,2453,18.2,0,0,0,0,0,,
148,Crushed,Natural,20,24.5,38,350,0.51,180,,Type SP901* Dos 1.0 lit,1910,765,1145,185,2445,31.8,39.1,0,0,0,0,,
149,Crushed,Natural,20,24.5,38,350,0.51,180,,Type SP901* Dos 1.0 lit,1910,765,1145,185,2445,31.8,0,0,0,0,0,,
150,Crushed,Natural,20,38,38,350,0.52,180,,Type SP901* Dos. 0.75 lit,1905,760,1145,190,2446,36.9,40.4,0,0,0,0,,
151,Crushed,Natural,20,38,38,350,0.52,180,,Type SP901* Dos. 0.75 lit,1905,760,1145,190,2445,36.9,0,0,0,0,0,,
152,Crushed,Natural,20,39,38,350,0.48,185,,Type RehoBuild 850* Dos 0.75 lit,1905,760,1145,190,2445,33.2,45,0,0,0,0,,
153,Crushed,Natural,20,39,38,350,0.53,185,,Type Reheobuild 850 * Dos. 0.75 lit,1905,760,1145,190,2443,33.2,0,0,0,0,0,,
154,Crushed,Natural,20,15.4,38,350,0.54,190,,0,1910,765,1145,80,2455,27.1,39.7,0,0,0,0,,
